"Carlamonriv","Tue Jun 30 00:18:58 +0000 2015","RT @chilevision: #CopaAmerica ¡A descansar todos felices en Ñuñoa! #ChilevsPeru → http://t.co/tTabVNfdfU http://t.co/OIzxLqXhuN"
"Pedro_Lencastre","Tue Jun 30 00:18:58 +0000 2015","#CopaAmericaChile2015 #CopaAmerica #CHI #PER  MAIS UM ARBITRO QUE NAO FAZ IDEIA DO QUE ESTA A FAZER !"
"canalN_","Tue Jun 30 00:18:58 +0000 2015","#CopaAmerica: Finalizo el primer tiempo del #PeruVsChile http://t.co/xqWoeDOgrG http://t.co/NIKTrzToUp"
"OmarMedhouni475","Tue Jun 30 00:18:58 +0000 2015","RT @mundodeportivo: DESCANSO: #CHI 1-0 #PER http://t.co/HJAVRA2nmr #CopaAmerica http://t.co/KpDCAEMaAp"
"CaracolDeportes","Tue Jun 30 00:18:58 +0000 2015","Termina el primer tiempo en Santiago. Marcador parcial: #CHI 1 - 0 #PER http://t.co/0DvqemILTE #CopaAmerica http://t.co/qZ1q2qW6qN"
"1ndonezia","Tue Jun 30 00:18:58 +0000 2015","#chile2015 HT - Chile vs Peru (1-0) Live Stream &gt; http://t.co/gRxay9B10r #CopaAmerica | #VamosChileCarajo Vamos Peru | Zambrano RedCard 20"
"gustavorbogarin","Tue Jun 30 00:18:59 +0000 2015","Final PT
#Chile  1 Vargas
#Peru  0
#CopaAmerica #chile2015"
"MaximaVenezuela","Tue Jun 30 00:18:59 +0000 2015","#CopaAmerica | #Chile 1-0 #Peru | Final 1T |"
"walteriotapia","Tue Jun 30 00:18:59 +0000 2015","Final PT #Chile 1 (Vargas) #Peru 0 #CopaAmerica"
"LaPrensa_Sport","Tue Jun 30 00:19:00 +0000 2015","Final del Primer Tiempo #Chile 1-0 #Peru #CopaAmerica #Semifinal @LaPrensa_Sport @superk800radio 
Min 42 Gol de Eduardo Vargas #Chile 
《ca》"
"SebasPio1295","Tue Jun 30 00:19:00 +0000 2015","Primer Tiempo: #Chile 1 - 0 #Peru #Chile2015 #CopaAmerica #VeoGolCaracol"
"RudyArce","Tue Jun 30 00:19:00 +0000 2015","@rppdeportes #Peru #Chile #CopaAmerica #Chile2015 Vargas esta adelanto.."
"RodolfoArturo","Tue Jun 30 00:19:00 +0000 2015","Gol de #Chile en fuera de lugar. Una vergüenza la #CopaAmerica. Mejor a esperar y ver mañana #Wimbledon Juega @RafaelNadal"
"ISAACM19","Tue Jun 30 00:19:00 +0000 2015","RT @mundodeportivo: DESCANSO: #CHI 1-0 #PER http://t.co/HJAVRA2nmr #CopaAmerica http://t.co/KpDCAEMaAp"
"nico_chacon","Tue Jun 30 00:19:01 +0000 2015","Jajajaja 😹😹 #CHI #CHILE #CopaAmerica #ChilevsPeru http://t.co/cQDSupMQlT"
"FuturaMilf","Tue Jun 30 00:19:01 +0000 2015","ACABo EL 1er TIEMPO!! #Chile 1 - #Peru 0 // vamooooos #Chile !!! #CopaAmerica"
"SGodoyAcosta","Tue Jun 30 00:19:01 +0000 2015","#CopaAmerica Semifinal MedioTiempo #Peru 0 #Chile 1 (Vargas); Expulsado Zambrano (P)"
"UNdeportes","Tue Jun 30 00:19:01 +0000 2015","#CopaAmerica | MT | Con un expulsado peruano y un gol  #Chile 1-0 #Peru http://t.co/IfmaDLj7Rf http://t.co/zXpLd7CY3d"
"tatid__","Tue Jun 30 00:19:01 +0000 2015","RT @Mendez_FC: Beautiful build up. Ugly goal. 😂 #CopaAmerica #ChilevsPeru"
"luanozzy","Tue Jun 30 00:19:01 +0000 2015","Essa imagem resume bem o primeiro tempo@mundodeportivo: DESCANSO: #CHI 1-0 #PER http://t.co/L1HKCqdWO1 #CopaAmerica http://t.co/8oUq429o7r"
"DiarioCoLatino","Tue Jun 30 00:19:02 +0000 2015","Finaliza el primer tiempo 

#CHI 1-0 #PER

#CopaAmerica #Chile2015"
"yacco500","Tue Jun 30 00:19:02 +0000 2015","RT @terrape: 46 Final PT. Peru tiene que replantear.
#CHI 1 - 0 #PER #CopaAmerica #TerraEnLaCopa
==&gt; http://t.co/XU6sGEdXaV"
"yacco500","Tue Jun 30 00:19:03 +0000 2015","RT @TerrapeDeportes: 46 Final PT. Peru tiene que replantear.
#CHI 1 - 0 #PER #CopaAmerica #TerraEnLaCopa
==&gt; http://t.co/fa3UrYJf4x"
"KaakuVillagran","Tue Jun 30 00:23:06 +0000 2015","RT @diepanda13: #CopaAmerica- 
En el Gol de #Chile Vargas tiene medio cuerpo adelantado. Aca la imagen CUENTENLA COMO QUIERAN http://t.co/…"
"NicoYenni","Tue Jun 30 00:23:06 +0000 2015","#CopaAmerica: #Chile 1-0 #Peru (entretiempo) #Chile2015"
"OlanchitoSports","Tue Jun 30 00:23:07 +0000 2015","Chile se va al descanso ganando  #Chile 1-0 #Peru  (CHI)  Vargas 42  #Chile2015  #CopaAmerica"
"AroundTheFur24","Tue Jun 30 00:23:08 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"cristianteko","Tue Jun 30 00:23:08 +0000 2015","Vamooooh chile mierda hoy ganamos 2 a 0 #Chile2015 #CopaAmericaChile2015 #CopaAmerica"
"AndresFCBLive","Tue Jun 30 00:23:08 +0000 2015","Creo que si Chile hubiera querido hacer el gol no lo hace. #CopaAmerica #Chile #Peru"
"Chalo_Diaz23","Tue Jun 30 00:23:09 +0000 2015","COMO LES ARDE EL HOYO AL VER QUE CHILE ESTA UN MUY BUEN NIVEL 😉 VAMOS CHILE CON TODO Y CONTRATODOS ! #CHILE #CopaAmerica"
"christianGTH","Tue Jun 30 00:23:09 +0000 2015","Sos eso #Chileno Pecho Frio Nunca ganaste NADA Mugriento Solo Pagando #CHI #Chile2015 #CopaAmerica #FIFA #ConmeGarcas"
"1ndonezia","Tue Jun 30 00:23:09 +0000 2015","#chile2015 HT - Chile vs Peru (1-0) Live Stream &gt; http://t.co/gRxay9B10r #CopaAmerica | fouls: 8-9 free kicks : 8-9 corner kicks 4-4"
"davidisabella1","Tue Jun 30 00:23:10 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
